,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
0,5479553,2025-01-01 12:37:00+00:00,12,Wednesday,January,0,Non-fatal injury,1,2,2,0,Rain,Rain,Wet,Wet,Daylight,Daylight,Front to Front,,T-intersection,Stop signs,42.29226434,-71.12191382
4,5479536,2025-01-01 07:40:00+00:00,7,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Cloudy/Rain,Rain,Wet,Wet,Other,Other,Angle,25.0,Not at junction,No controls,42.3516948,-71.08636058
23,5480432,2025-01-02 07:20:00+00:00,7,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Head-on,25.0,Four-way intersection,Traffic control signal,42.34971097,-71.13268238
35,5480045,2025-01-02 03:35:00+00:00,3,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Not at junction,No controls,42.30430062,-71.06964514
50,5479644,2025-01-01 01:37:00+00:00,1,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Head-on,25.0,Four-way intersection,Stop signs,42.38019294,-71.02574643
73,5480926,2025-01-03 08:57:00+00:00,8,Friday,January,0,Non-fatal injury,1,2,2,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Not reported,25.0,Four-way intersection,Traffic control signal,42.29298612,-71.09456337
88,5480819,2025-01-02 16:51:00+00:00,16,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,,Four-way intersection,Traffic control signal,42.31957167,-71.09841196
90,5480810,2025-01-02 14:30:00+00:00,14,Thursday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,Not at junction,Traffic control signal,42.32147328,-71.05677752
105,5480778,2025-01-02 16:30:00+00:00,16,Thursday,January,0,Non-fatal injury,1,3,1,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Not reported,,Not reported,Not reported,42.32951137,-71.05701732
107,5480774,2025-01-03 00:05:00+00:00,0,Friday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Four-way intersection,Traffic control signal,42.27221639,-71.06801765
117,5480677,2025-01-01 11:01:00+00:00,11,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Rain,Rain,Wet,Wet,Other,Other,Front to Front,25.0,Not at junction,No controls,42.28608379,-71.14314719
124,5481180,2025-01-04 14:10:00+00:00,14,Saturday,January,1,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",,Not at junction,No controls,42.32501624,-71.05925333
132,5481123,2025-01-04 02:18:00+00:00,2,Saturday,January,1,Non-fatal injury,1,4,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,25.0,T-intersection,No controls,42.31475731,-71.08354277
137,5481099,2025-01-04 02:43:00+00:00,2,Saturday,January,1,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,25.0,Not at junction,No controls,42.24357447,-71.12996433
142,5481070,2025-01-01 03:16:00+00:00,3,Wednesday,January,0,Property damage only (none injured),0,1,0,0,Rain/Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,,Not at junction,No controls,42.34148294,-71.06297254
143,5481066,2025-01-03 06:28:00+00:00,6,Friday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Angle,25.0,Four-way intersection,Traffic control signal,42.30604059,-71.07825835
151,5481058,2025-01-03 21:58:00+00:00,21,Friday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Four-way intersection,No controls,42.30306346,-71.06821972
153,5481053,2025-01-03 16:00:00+00:00,16,Friday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,"Sideswipe, same direction",25.0,Not at junction,No controls,42.30386268,-71.05926851
181,5481234,2025-01-05 02:30:00+00:00,2,Sunday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - roadway not lighted,Dark - Lighted,Single vehicle crash,,Four-way intersection,No controls,42.28889513,-71.08746055
190,5481204,2025-01-03 10:00:00+00:00,10,Friday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, opposite direction",25.0,T-intersection,No controls,42.34265369,-71.08058606
191,5481203,2025-01-04 17:45:00+00:00,17,Saturday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",25.0,Not at junction,No controls,42.33213232,-71.07030509
192,5481202,2025-01-04 16:02:00+00:00,16,Saturday,January,1,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Not at junction,No controls,42.35570532,-71.14736069
198,5481912,2025-01-06 07:45:00+00:00,7,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,T-intersection,No controls,42.38391583,-71.02266407
307,5481466,2025-01-05 20:30:00+00:00,20,Sunday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Not reported,25.0,Not at junction,No controls,42.35184088,-71.14010734
324,5481417,2025-01-03 19:31:00+00:00,19,Friday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Four-way intersection,Traffic control signal,42.36092347,-71.11778327
327,5481414,2025-01-05 16:38:00+00:00,16,Sunday,January,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Rear-end,40.0,Off-ramp,No controls,42.36263648,-71.14508628
330,5481410,2025-01-01 06:32:00+00:00,6,Wednesday,January,0,Property damage only (none injured),0,1,0,0,Rain/Cloudy,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,30.0,Not at junction,No controls,42.36253446,-71.07099741
355,5482175,2025-01-07 05:56:00+00:00,5,Tuesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,,Four-way intersection,Traffic control signal,42.35587708,-71.05524528
430,5481993,2025-01-06 08:10:00+00:00,8,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Four-way intersection,Traffic control signal,42.33012942,-71.06021742
443,5481973,2025-01-06 18:28:00+00:00,18,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,,Not at junction,Not reported,42.30323922,-71.16475289
461,5481928,2025-01-05 15:11:00+00:00,15,Sunday,January,1,Non-fatal injury,1,3,2,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,45.0,Not at junction,No controls,42.35659918,-71.02666182
605,5482337,2025-01-07 21:27:00+00:00,21,Tuesday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,,Not at junction,No controls,42.35656899,-71.14243999
636,5482250,2025-01-01 19:08:00+00:00,19,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Cloudy/Cloudy,Cloudy,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,T-intersection,Traffic control signal,42.34593987,-71.06125384
680,5483082,2025-01-08 21:02:00+00:00,21,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",,T-intersection,Traffic control signal,42.3261164,-71.07533943
755,5482907,2025-01-08 16:01:00+00:00,16,Wednesday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Unknown,25.0,Unknown,No controls,42.39203281,-71.00457925
763,5484020,2025-01-10 11:29:00+00:00,11,Friday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Stop signs,42.27862164,-71.09539617
769,5484008,2025-01-02 20:15:00+00:00,20,Thursday,January,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,25.0,Four-way intersection,Traffic control signal,42.30900879,-71.12072673
777,5483988,2025-01-02 21:45:00+00:00,21,Thursday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",25.0,T-intersection,Traffic control signal,42.33197757,-71.11204475
792,5483962,2025-01-10 08:50:00+00:00,8,Friday,January,0,Non-fatal injury,1,2,3,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Not at junction,No controls,42.35058443,-71.16782782
821,5483890,2025-01-10 08:28:00+00:00,8,Friday,January,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,Four-way intersection,Not reported,42.28423657,-71.09138155
866,5483505,2025-01-10 04:00:00+00:00,4,Friday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear to Side,25.0,Four-way intersection,Stop signs,42.29081267,-71.05967429
896,5483459,2025-01-10 00:02:00+00:00,0,Friday,January,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,,Four-way intersection,Not reported,42.2812153,-71.04775802
907,5483448,2025-01-09 15:49:00+00:00,15,Thursday,January,0,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Not at junction,No controls,42.28397118,-71.11890174
912,5483442,2025-01-09 18:46:00+00:00,18,Thursday,January,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dark - roadway not lighted,Dark - Lighted,Single vehicle crash,25.0,Not at junction,No controls,42.2902097,-71.08938044
930,5483384,2025-01-08 09:35:00+00:00,9,Wednesday,January,0,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Front,,Not at junction,No controls,42.28797697,-71.14561106
978,5484063,2025-01-11 02:02:00+00:00,2,Saturday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,Not at junction,No controls,42.30698658,-71.05915847
1003,5484032,2025-01-10 15:40:00+00:00,15,Friday,January,0,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Front,25.0,Four-way intersection,Stop signs,42.28712838,-71.0788579
1019,5484173,2025-01-12 09:08:00+00:00,9,Sunday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Wet,Wet,Daylight,Daylight,"Sideswipe, same direction",,Not at junction,Not reported,42.28698453,-71.12580148
1020,5484164,2025-01-09 08:33:00+00:00,8,Thursday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Not reported,No controls,42.38355859,-71.07539425
1021,5484163,2025-01-12 10:30:00+00:00,10,Sunday,January,1,Property damage only (none injured),0,2,0,0,Other,Other,Ice,Snow/Ice,Daylight,Daylight,Front to Front,25.0,Four-way intersection,Stop signs,42.27764369,-71.09812371
1039,5484140,2025-01-12 02:18:00+00:00,2,Sunday,January,1,Property damage only (none injured),0,1,0,0,Clear,Clear,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Not reported,,Four-way intersection,Traffic control signal,42.35348961,-71.13712516
1056,5484122,2025-01-11 17:25:00+00:00,17,Saturday,January,1,Non-fatal injury,1,2,1,0,Cloudy/Snow,Snow/Ice,Wet,Wet,Daylight,Daylight,Rear-end,25.0,Four-way intersection,Traffic control signal,42.37802843,-71.02934958
1082,5485048,2025-01-06 03:51:00+00:00,3,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,25.0,Four-way intersection,Traffic control signal,42.34382268,-71.06109744
1086,5485041,2025-01-13 11:33:00+00:00,11,Monday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Not at junction,Traffic control signal,42.3389946,-71.10719903
1174,5484904,2025-01-12 20:47:00+00:00,20,Sunday,January,1,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,,Not at junction,No controls,42.2559323,-71.12309214
1311,5484573,2025-01-12 01:54:00+00:00,1,Sunday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Snow,Snow/Ice,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,T-intersection,Traffic control signal,42.27894106,-71.05415605
1514,5485335,2025-01-13 06:28:00+00:00,6,Monday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Dawn,Dawn/Dusk,Single vehicle crash,,T-intersection,No controls,42.33233281,-71.07130509
1689,5485104,2025-01-13 22:20:00+00:00,22,Monday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Angle,25.0,T-intersection,Traffic control signal,42.35482334,-71.0748146
1691,5485102,2025-01-13 19:51:00+00:00,19,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Unknown,25.0,T-intersection,Stop signs,42.29084014,-71.07414452
1715,5485073,2025-01-13 09:34:00+00:00,9,Monday,January,0,Property damage only (none injured),0,4,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,,Not at junction,No controls,42.3553243,-71.11868326
1728,5485060,2025-01-13 10:23:00+00:00,10,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Four-way intersection,Traffic control signal,42.37435577,-71.06759928
1729,5485059,2025-01-12 19:31:00+00:00,19,Sunday,January,1,Non-fatal injury,1,2,2,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Head-on,25.0,Four-way intersection,Traffic control signal,42.35026247,-71.11098625
1730,5485058,2025-01-13 14:37:00+00:00,14,Monday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",,Not at junction,No controls,42.35079551,-71.06218642
1734,5485826,2025-01-15 14:52:00+00:00,14,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,T-intersection,No controls,42.31421269,-71.08371485
1780,5485765,2025-01-14 14:00:00+00:00,14,Tuesday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear to Side,25.0,Not at junction,No controls,42.26724674,-71.11155773
1852,5485633,2025-01-14 11:12:00+00:00,11,Tuesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Not reported,,T-intersection,Stop signs,42.3553246,-71.07504911
1935,5485465,2025-01-14 20:00:00+00:00,20,Tuesday,January,0,Non-fatal injury,1,3,2,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",25.0,Not at junction,No controls,42.2734497,-71.09369871
1950,5485436,2025-01-14 19:00:00+00:00,19,Tuesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",,Not at junction,No controls,42.35659002,-71.14258268
1973,5486402,2025-01-16 14:35:00+00:00,14,Thursday,January,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,T-intersection,No controls,42.33344698,-71.10264342
2026,5486272,2025-01-16 07:51:00+00:00,7,Thursday,January,0,Non-fatal injury,1,3,3,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.32490769,-71.09827157
2275,5485889,2025-01-01 03:50:00+00:00,3,Wednesday,January,0,Property damage only (none injured),0,1,0,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Four-way intersection,Traffic control signal,42.32871385,-71.08401224
2312,5485852,2025-01-15 16:29:00+00:00,16,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.29606561,-71.06137146
2316,5485847,2025-01-14 07:02:00+00:00,7,Tuesday,January,0,Non-fatal injury,1,4,2,0,Clear/Clear,Clear,Dry,Dry,Dawn,Dawn/Dusk,Rear-end,30.0,Y-intersection,No controls,42.32863816,-71.04707817
2325,5485838,2025-01-03 10:40:00+00:00,10,Friday,January,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Not at junction,Traffic control signal,42.28607784,-71.04331461
2330,5485833,2025-01-14 20:03:00+00:00,20,Tuesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Head-on,25.0,Four-way intersection,Traffic control signal,42.29005823,-71.04841812
2335,5486704,2025-01-17 11:16:00+00:00,11,Friday,January,0,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Rear,25.0,Four-way intersection,Stop signs,42.33641823,-71.03994821
2471,5486509,2025-01-16 19:45:00+00:00,19,Thursday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Unknown,25.0,Four-way intersection,Traffic control signal,42.30953522,-71.08266799
2475,5486504,2025-01-16 08:23:00+00:00,8,Thursday,January,0,Property damage only (none injured),0,3,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Four-way intersection,No controls,42.30881653,-71.06424305
2491,5486486,2025-01-15 14:53:00+00:00,14,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Not reported,,T-intersection,Stop signs,42.34903421,-71.06389524
2571,5486403,2025-01-15 23:00:00+00:00,23,Wednesday,January,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Not reported,25.0,T-intersection,No controls,42.33330229,-71.0978211
2604,5486930,2025-01-17 06:55:00+00:00,6,Friday,January,0,Non-fatal injury,1,2,2,0,Clear,Clear,"Sand, mud, dirt, oil, gravel",Other,Dark - roadway not lighted,Dark - Lighted,Angle,25.0,Four-way intersection,Stop signs,42.32762435,-71.07283938
2610,5486924,2025-01-13 08:17:00+00:00,8,Monday,January,0,Non-fatal injury,1,1,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,30.0,T-intersection,Stop signs,42.25433963,-71.13839217
2618,5486916,2025-01-14 14:46:00+00:00,14,Tuesday,January,0,Non-fatal injury,1,2,2,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,T-intersection,Traffic control signal,42.34888317,-71.06026954
2631,5486903,2025-01-13 07:19:00+00:00,7,Monday,January,0,Property damage only (none injured),0,1,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,25.0,Not at junction,No controls,42.25783348,-71.13105381
2633,5486901,2025-01-15 13:11:00+00:00,13,Wednesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,Not at junction,No controls,42.30135448,-71.11232687
2636,5486898,2025-01-11 08:24:00+00:00,8,Saturday,January,1,Property damage only (none injured),0,1,0,0,Snow,Snow/Ice,Wet,Wet,Daylight,Daylight,Single vehicle crash,25.0,Not at junction,No controls,42.25971109,-71.14078945
2639,5486895,2025-01-12 07:49:00+00:00,7,Sunday,January,1,Property damage only (none injured),0,1,0,0,Cloudy,Cloudy,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,45.0,Not at junction,Warning signs,42.34886637,-71.05733927
2663,5486870,2025-01-08 06:45:00+00:00,6,Wednesday,January,0,Non-fatal injury,1,3,1,0,Clear/Cloudy,Clear,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Rear-end,35.0,Not at junction,No controls,42.37073843,-71.0635603
2664,5486869,2025-01-07 07:47:00+00:00,7,Tuesday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Front,55.0,Not at junction,No controls,42.35354215,-71.11670304
2669,5486863,2025-01-04 13:49:00+00:00,13,Saturday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,35.0,Not at junction,Warning signs,42.362534,-71.05517473
2676,5486856,2025-01-09 15:28:00+00:00,15,Thursday,January,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Angle,25.0,T-intersection,No controls,42.29810032,-71.1299004
2680,5486852,2025-01-08 14:12:00+00:00,14,Wednesday,January,0,Property damage only (none injured),0,3,0,0,Not Reported,Other,Dry,Dry,Daylight,Daylight,Rear-end,,Not at junction,No controls,42.34019757,-71.06367027
2682,5486850,2025-01-06 09:30:00+00:00,9,Monday,January,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,,T-intersection,Traffic control signal,42.34382268,-71.06109744
2685,5486847,2025-01-08 07:19:00+00:00,7,Wednesday,January,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Dawn,Dawn/Dusk,Angle,35.0,T-intersection,Traffic control signal,42.27517937,-71.14065251
2690,5486842,2025-01-07 13:09:00+00:00,13,Tuesday,January,0,Non-fatal injury,1,2,2,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Not at junction,No controls,42.28406178,-71.09046376
2692,5486840,2025-01-12 10:03:00+00:00,10,Sunday,January,1,Non-fatal injury,1,2,1,0,Cloudy,Cloudy,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Front to Rear,45.0,Not at junction,No controls,42.36394382,-71.05798148
2693,5486839,2025-01-07 10:45:00+00:00,10,Tuesday,January,0,Property damage only (none injured),0,1,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,35.0,Not at junction,No controls,42.25845593,-71.14019648
2698,5486834,2025-01-10 10:40:00+00:00,10,Friday,January,0,Non-fatal injury,1,2,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Traffic circle,No controls,42.32164029,-71.05087924
2700,5486832,2025-01-01 09:15:00+00:00,9,Wednesday,January,0,Non-fatal injury,1,2,1,0,Rain,Rain,Wet,Wet,Daylight,Daylight,Rear-end,25.0,On-ramp,No controls,42.36647249,-71.06582128
2701,5486831,2025-01-01 05:35:00+00:00,5,Wednesday,January,0,Non-fatal injury,1,1,1,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,Traffic circle,No controls,42.30862874,-71.12206814
2710,5486818,2025-01-01 10:22:00+00:00,10,Wednesday,January,0,Property damage only (none injured),0,1,0,0,Rain/Cloudy,Rain,Wet,Wet,Daylight,Daylight,Single vehicle crash,,Not at junction,No controls,42.35690347,-71.12662331
2715,5486810,2025-01-01 07:48:00+00:00,7,Wednesday,January,0,Non-fatal injury,1,1,1,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,,Not at junction,No controls,42.35707307,-71.05143504
2720,5486737,2025-01-17 16:20:00+00:00,16,Friday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.27862416,-71.11912724
2725,5486732,2025-01-17 13:10:00+00:00,13,Friday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.34860954,-71.140233
2746,5487028,2025-01-19 02:20:00+00:00,2,Sunday,January,1,Property damage only (none injured),0,2,0,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Head-on,25.0,T-intersection,No controls,42.35342137,-71.04692408
2755,5487017,2025-01-04 12:52:00+00:00,12,Saturday,January,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,35.0,Not at junction,No controls,42.3572582,-71.07193605
2758,5487013,2025-01-19 01:50:00+00:00,1,Sunday,January,1,Non-fatal injury,1,2,2,0,Clear,Clear,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,T-intersection,No controls,42.35239372,-71.07550122
2763,5487007,2025-01-13 09:44:00+00:00,9,Monday,January,0,Property damage only (none injured),0,1,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,35.0,Not at junction,No controls,42.27185341,-71.14429921
2770,5487000,2025-01-19 00:00:00+00:00,0,Sunday,January,1,Property damage only (none injured),0,2,0,0,Cloudy,Cloudy,Wet,Wet,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",,Not at junction,Pedestrian Crossing signal/beacon,42.29218099,-71.11776094
2773,5486997,2025-01-19 00:11:00+00:00,0,Sunday,January,1,Property damage only (none injured),0,2,0,0,Cloudy,Cloudy,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Front to Front,25.0,Not reported,No controls,42.31563805,-71.06193601
2785,5486985,2025-01-18 13:04:00+00:00,13,Saturday,January,1,Property damage only (none injured),0,2,0,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,"Sideswipe, same direction",25.0,On-ramp,Traffic control signal,42.36381288,-71.05839327
2796,5486974,2025-01-15 19:12:00+00:00,19,Wednesday,January,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,25.0,T-intersection,No controls,42.35180796,-71.12237005
2797,5486973,2025-01-18 20:13:00+00:00,20,Saturday,January,1,Non-fatal injury,1,2,1,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Rear-end,30.0,Four-way intersection,Traffic control signal,42.2876632,-71.1066516
2800,5486970,2025-01-18 19:00:00+00:00,19,Saturday,January,1,Non-fatal injury,1,1,1,0,Rain,Rain,Wet,Wet,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,35.0,Four-way intersection,No controls,42.26609637,-71.15177187
