,CRASH_NUMB,CRASH_DATE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,CRASH_SEVERITY_DESCR,IS_SEVERE,NUMB_VEHC,NUMB_NONFATAL_INJR,NUMB_FATAL_INJR,WEATH_COND_DESCR,WEATHER_SIMPLE,ROAD_SURF_COND_DESCR,ROAD_SIMPLE,AMBNT_LIGHT_DESCR,LIGHTING_SIMPLE,MANR_COLL_DESCR,SPEED_LIMIT,RDWY_JNCT_TYPE_DESCR,TRAF_CNTRL_DEVC_TYPE_DESCR,LAT,LON
71166,5562318,2025-08-16 06:57:00+00:00,6,Saturday,August,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dawn,Dawn/Dusk,Angle,30.0,Five-point or more,Traffic control signal,42.28043155,-71.08264762
71167,5562317,2025-08-09 13:46:00+00:00,13,Saturday,August,1,Non-fatal injury,1,1,1,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Single vehicle crash,45.0,Not at junction,No controls,42.29375477,-71.16206054
71169,5562315,2025-08-14 10:20:00+00:00,10,Thursday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,25.0,Four-way intersection,Traffic control signal,42.28156518,-71.08704777
71212,5562270,2025-07-31 07:32:00+00:00,7,Thursday,July,0,Property damage only (none injured),0,2,0,0,Clear/Cloudy,Clear,Dry,Dry,Daylight,Daylight,Angle,30.0,T-intersection,Traffic control signal,42.27686524,-71.17236858
71315,5562165,2025-08-18 20:00:00+00:00,20,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Dusk,Dawn/Dusk,Not reported,25.0,Four-way intersection,Traffic control signal,42.34954552,-71.07220612
71317,5562163,2025-08-18 18:15:00+00:00,18,Monday,August,0,Non-fatal injury,1,1,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Front to Rear,25.0,Four-way intersection,Flashing traffic control signal,42.34843846,-71.13771634
71318,5562162,2025-08-18 15:15:00+00:00,15,Monday,August,0,Non-fatal injury,1,2,2,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-to-rear,,T-intersection,Stop signs,42.34470662,-71.10049814
71324,5562156,2025-08-13 15:48:00+00:00,15,Wednesday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",55.0,Not at junction,No controls,42.35109339,-71.11163886
71330,5562149,2025-08-15 23:39:00+00:00,23,Friday,August,0,Non-fatal injury,1,1,1,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Single vehicle crash,25.0,On-ramp,No controls,42.36320809,-71.05697215
71341,5562138,2025-08-18 17:05:00+00:00,17,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Angle,,Not at junction,Traffic control signal,42.3211152,-71.06133455
71346,5562133,2025-08-18 18:30:00+00:00,18,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,,Not reported,Stop signs,42.30268277,-71.05285174
71349,5562130,2025-07-27 05:03:00+00:00,5,Sunday,July,1,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Dark - lighted roadway,Dark - Lighted,Rear-end,,Not at junction,No controls,42.35278224,-71.05640958
71360,5562118,2025-08-18 15:57:00+00:00,15,Monday,August,0,Non-fatal injury,1,2,1,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",25.0,Y-intersection,Traffic control signal,42.35326419,-71.05576516
71369,5562109,2025-08-10 18:20:00+00:00,18,Sunday,August,1,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,,Four-way intersection,Traffic control signal,42.3018762,-71.08556655
71375,5562103,2025-08-18 13:30:00+00:00,13,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,"Sideswipe, same direction",35.0,Four-way intersection,No controls,42.31618348,-71.05667149
71378,5562100,2025-08-18 08:09:00+00:00,8,Monday,August,0,Property damage only (none injured),0,2,0,0,Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,25.0,T-intersection,Traffic control signal,42.32012556,-71.06196302
72049,5562993,2025-08-20 09:45:00+00:00,9,Wednesday,August,0,Non-fatal injury,1,3,1,0,Rain,Rain,Wet,Wet,Daylight,Daylight,Not reported,,Not at junction,Not reported,42.30592756,-71.12425533
72060,5562982,2025-08-20 08:34:00+00:00,8,Wednesday,August,0,Property damage only (none injured),0,2,0,0,Rain,Rain,Wet,Wet,Other,Other,Angle,25.0,Not reported,No controls,42.29770559,-71.05912647
72103,5562938,2025-07-21 14:34:00+00:00,14,Monday,July,0,Property damage only (none injured),0,2,0,0,Clear/Clear,Clear,Dry,Dry,Daylight,Daylight,Rear-end,30.0,Not at junction,No controls,42.35288753,-71.08454224
